Name,Business Value,Specialty Popularity,Attention Heat,Predicted Heat,Carrying Capacity,V Index,Weibo fans(w),Weibo hypertalk(w),Group friend,Classes,Genders
162,73.82 ,31.95 ,78.23 ,56.96 ,77.55 ,64.87 ,3439.20 ,171.00 ,4390.00 ,1.00 ,0.00 
163,73.81 ,83.83 ,67.60 ,75.29 ,67.05 ,79.47 ,5309.30 ,23.20 ,1157.00 ,1.00 ,1.00 
164,73.77 ,82.82 ,69.66 ,72.94 ,61.60 ,81.60 ,1307.10 ,10.80 ,5781.00 ,1.00 ,1.00 
165,73.75 ,74.64 ,64.24 ,90.77 ,70.78 ,50.83 ,1085.20 ,23.70 ,3735.00 ,1.00 ,1.00 
166,73.74 ,67.76 ,71.84 ,57.21 ,78.44 ,86.75 ,2517.10 ,229.00 ,1.10 ,2.00 ,1.00 
167,73.70 ,53.75 ,76.55 ,67.81 ,58.06 ,67.71 ,2634.40 ,19.50 ,1298.00 ,1.00 ,0.00 
168,73.60 ,62.32 ,72.76 ,78.91 ,55.81 ,84.50 ,2549.20 ,23.20 ,7072.00 ,1.00 ,1.00 
169,73.40 ,58.40 ,75.40 ,50.33 ,75.14 ,92.14 ,1416.60 ,15.10 ,1179.00 ,1.00 ,0.00 
170,73.33 ,62.21 ,68.73 ,73.24 ,75.95 ,79.75 ,1011.80 ,4.80 ,862.00 ,1.00 ,0.00 
171,73.01 ,52.87 ,69.57 ,75.43 ,74.60 ,80.31 ,1080.00 ,39.00 ,4380.00 ,1.00 ,1.00 
172,73.00 ,70.96 ,66.97 ,80.19 ,68.12 ,68.70 ,484.60 ,3.30 ,3782.00 ,1.00 ,0.00 
173,72.88 ,85.03 ,70.05 ,72.47 ,53.37 ,81.40 ,4574.10 ,12.60 ,3397.00 ,1.00 ,1.00 
174,72.69 ,74.70 ,73.32 ,68.78 ,49.65 ,,,,,1.00 ,1.00 
175,72.67 ,67.58 ,69.73 ,60.51 ,76.96 ,58.94 ,2375.90 ,134.00 ,13000.00 ,2.00 ,1.00 
176,72.62 ,65.99 ,77.12 ,25.66 ,82.99 ,91.37 ,2365.70 ,923.00 ,16000.00 ,2.00 ,0.00 
177,72.52 ,69.64 ,69.71 ,62.72 ,72.48 ,86.15 ,7242.00 ,173.00 ,2909.00 ,1.00 ,1.00 
178,72.43 ,83.62 ,73.66 ,54.55 ,54.95 ,51.85 ,11900.00 ,14.40 ,7964.00 ,1.00 ,1.00 
179,72.41 ,71.59 ,66.08 ,70.07 ,77.63 ,84.95 ,3201.10 ,129.00 ,1253.00 ,1.00 ,1.00 
180,72.33 ,54.77 ,69.73 ,79.44 ,64.36 ,55.70 ,547.40 ,11.30 ,848.00 ,1.00 ,1.00 
181,72.17 ,72.14 ,74.81 ,45.28 ,65.64 ,57.73 ,1720.80 ,6.30 ,6.30 ,1.00 ,0.00 
182,69.30 ,62.56 ,63.97 ,69.69 ,72.76 ,74.57 ,1330.50 ,13.10 ,734.00 ,1.00 ,0.00 
183,69.29 ,74.21 ,68.73 ,52.27 ,63.26 ,80.05 ,4816.80 ,10.10 ,1256.00 ,1.00 ,0.00 
184,69.23 ,61.81 ,69.79 ,54.68 ,64.49 ,52.72 ,1945.40 ,6.50 ,1831.00 ,1.00 ,0.00 
185,69.17 ,31.32 ,71.58 ,57.86 ,74.09 ,80.55 ,2198.90 ,13.10 ,1185.00 ,1.00 ,0.00 
186,69.09 ,72.04 ,68.04 ,66.73 ,51.76 ,66.32 ,365.80 ,1.60 ,554.00 ,1.00 ,1.00 
187,69.08 ,55.41 ,71.43 ,39.61 ,76.33 ,85.54 ,877.50 ,26.50 ,6012.00 ,2.00 ,1.00 
188,69.03 ,62.13 ,67.84 ,53.39 ,72.15 ,81.62 ,2432.40 ,14.60 ,2124.00 ,1.00 ,0.00 
189,68.98 ,67.25 ,63.96 ,78.59 ,58.73 ,46.23 ,1051.30 ,1.60 ,1257.00 ,1.00 ,1.00 
190,68.87 ,58.49 ,67.86 ,56.25 ,70.58 ,84.03 ,727.30 ,10.10 ,4687.00 ,2.00 ,1.00 
191,68.77 ,75.27 ,64.50 ,77.14 ,51.35 ,56.14 ,2537.90 ,6.70 ,1990.00 ,1.00 ,1.00 
192,70.67 ,74.77 ,72.39 ,32.45 ,76.85 ,56.71 ,1455.40 ,4.10 ,8517.00 ,1.00 ,1.00 
193,70.39 ,53.10 ,68.08 ,78.65 ,60.57 ,83.52 ,947.20 ,25.60 ,2807.00 ,1.00 ,1.00 
194,70.34 ,73.05 ,70.75 ,55.96 ,58.93 ,76.64 ,4490.50 ,1.90 ,2435.00 ,1.00 ,0.00 
195,70.31 ,64.72 ,64.20 ,75.48 ,71.00 ,73.72 ,1326.50 ,10.30 ,1983.00 ,1.00 ,0.00 
196,70.28 ,63.52 ,70.52 ,55.87 ,65.92 ,77.45 ,918.90 ,17.20 ,3500.00 ,1.00 ,1.00 
197,70.23 ,54.26 ,72.05 ,42.51 ,78.99 ,77.74 ,7688.50 ,86.40 ,898.00 ,1.00 ,0.00 
